views,likes,dislikes
20539417,840642,47715
238413,732,92
41029,296,32
805124,44513,1756
55140,136,14
120817,2896,210
58469,828,253
360223,15873,16033
1775997,37124,1980
6685,11,35
200060,4548,52
346924,4657,1838
12987863,216319,17751
1981757,103407,1419
1015189,2133,2483
3653,47,3
2255529,48000,2970
1155622,16060,883
9892,250,7
5626588,408618,6121
85643,170,45
212310,7589,227
180284,6073,125
301423,8409,349
835573,27068,2021
3686343,130373,3628
297840,10429,378
2922523,119348,1161
595415,8795,450
3643894,125205,8702
9833,73,21
7563254,58209,10859
54341,487,67
357078,19783,610
1888789,44007,1997
168446,374,48
263656,2556,5584
515525,24115,1249
39082222,1721383,23137
1080230,2540,887
873362,36365,594
366892,9052,2993
48372,382,11
216766,7108,95
81086,3085,150
3931,17,0
1072970,102199,1469
56372,2332,191
69786,453,26
204298,9321,386
101233,3128,51
1126501,48219,444
2498463,75023,1925
224608,14843,180
45965,2284,35
317304,17023,84
1996082,18992,1049
44939,1576,110
118316,3823,294
2244971,101831,12677
2844271,60500,3667
99019,2404,40
3591699,212004,3528
1137392,26180,992
147193,5405,151
482334,55001,184
269509,10801,158
3741812,314872,2647
1185773,45513,1378
178313,9072,98
2185367,96850,1130
366814,4099,172
797436,29425,585
1646057,53901,1566
271685,3330,854
3505996,5934,3400
194946,9278,137
392482,5659,2432
1882868,88072,1219
226317,11702,125
232083,14766,408
144694,1012,588
908489,12261,339
180606,2400,159
308352,15765,399
193832,1351,25
41251,1561,29
524911,7822,185
467804,19962,268
77302,3756,123
304700,12347,577
1440724,36686,6598
878560,12961,1468
155533,4621,233
161231,7803,169
379918,4472,4507
90454,211,65
157037,7800,96
895507,38734,550
134372,7979,80
55901,477,132
207678,10372,69
3979891,151850,2378
387902,24442,414
1803724,57470,5261
3621389,141681,1289
1012513,20036,6510
224426,17784,225
1147169,31832,1902
1362421,8970,4131
593969,24672,735
2916453,93039,1765
533940,12633,597
1559003,29898,884
2900560,37329,34908
760341,13283,317
1961066,142740,773
1258937,114661,2509
133212,6260,202
235655,2665,109
208117,21334,255
229515,9435,90
1496471,43974,2045
211596,3802,78
2223948,76806,1169
5531707,72727,3362
623803,17286,511
1610930,85208,916
42571,3557,147
507753,35595,483
237107,2207,138
1825705,77531,4156
1251180,32186,455
79863,259,131
50934,2793,104
21740,979,5
574778,7517,154
153220,660,320
845763,17929,502
42769,175,117
177648,6932,786
225337,9576,587
17901,2325,50
290124,23472,483
15232,84,11
1291560,152975,650
28895,309,81
520049,28187,452
10838,7,42
281868,1546,245
2325233,91111,7543
196434,6305,88
936075,21642,1202
52607,3835,32
91701,5930,70
17129,455,18
5086221,137819,10468
860406,20489,2507
2394,19,0
153583,6989,92
587752,11891,1777
128892,1935,68
98396,93,19
90641,2349,409
62185,4369,82
30576,1741,27
33887,1350,41
12494,252,3
338317,11251,120
232532,11933,231
100472,5140,40
2814427,194199,3757
414929,8895,636
827546,15887,1299
440163,17988,211
141129,8451,239
34221,1445,593
4576001,172379,6952
282854,12958,664
30341,730,22
207712,5447,143
135459,9381,29
214305,4064,56
31910,1699,13
265822,9045,346
11769,127,13
2584165,147110,2305
175760,15482,138
220189,2338,565
157522,8012,85
84091,2892,95
1037561,716,117
174568,4934,65
10457,54,4
212992,7049,209
31076,1814,36
1154280,27632,1096
984836,5855,530
549044,16946,2438
46545,5320,37
32347,145,44
319797,17086,164
62620,1170,92
372775,21214,119
2567518,18425,2950
120697,2376,38
289923,8480,321
209442,19069,289
44320,130,77
727427,9459,1446
99999,143,12
85742,278,128
20529,318,11
237111,2323,786
104295,423,45
409445,6345,331
365006,9431,741
174023,7010,72
37575,1679,21
248499,13613,359
327935,4345,175
59466,39,14
403564,2581,159
264129,6161,356
36859,23,10
22101,83,74
133296,5012,159
297046,9905,266
28147,1801,48
46308,4511,91
33513,607,42
102878,225,182
136066,4355,158
100120,154,15
42472,303,32
863232,46439,1828
22702386,869304,50018
6904,18,58
1338,4,0
58604,828,253
121979,2901,210
215222,4720,55
1826373,37692,2026
1118,6,0
251684,769,95
6355501,424406,6451
381688,16467,18775
6743,11,35
687,10,2
190543,6369,137
2083918,106243,1461
350422,4735,1839
8088,280,4
3839,48,3
2328148,48904,3008
10309,254,7
15432746,233172,19513
92327,182,45
9036,427,14
216234,7715,230
5119,20,1
4435991,139054,4059
1249702,1988,299
300601,10497,382
616371,8926,461
3031863,121285,1186
10542,77,22
3790933,127412,8857
1167646,2691,916
849499,27121,2042
2398093,48511,2221
7727696,59673,11124
383308,20371,627
5366,19,0
272466,2586,5609
58135,519,69
43449654,1788960,24548
525210,24412,1259
390261,9474,3091
122772,3912,298
46260,2286,35
243412,7782,104
465893,111,14
59168,2412,193
82713,3124,151
1233722,115781,1615
71089,460,27
127404,3869,56
339256,17267,85
226659,9725,400
241314,15071,186
2624056,75930,1949
1354030,57838,512
45236,1581,110
172587,379,49
2122489,20085,1104
2291077,102726,12794
935744,37129,622
1262652,28119,1047
49915,386,11
505794,55628,192
3680540,216119,3570
1603415,65594,700
2585193,40775,3498
4722974,119107,3782
6659676,223821,4515
804363,39816,6304
2336528,6729,167
501670,28309,422
334497,12594,622
499946,135292,3528
1164713,88541,742
2935330,281095,2679
397983,5666,1682
3483755,789750,2840
505886,23207,5375
178977,14355,87
406769,6593,397
1117997,50946,760
1117510,61075,463
677167,31301,747
463992,25840,509
228846,1326,501
1276326,70960,811
340348,5474,372
1035804,18816,737
270859,11492,576
218153,5155,308
177348,18022,507
655161,21013,2563
2128788,61484,7800
1693011,84669,810
816696,29135,1267
1223069,23939,8061
5938,108,3
531746,32749,642
76491,3849,95
769769,6133,1124
1828753,10814,5339
1884763,135815,3303
284037,9821,397
1333817,35950,2080
39504,1389,92
81947,8184,146
673010,58902,786
88644,5172,453
420033,14353,147
326709,5340,207
736829,18708,794
3300683,98182,1914
363095,3657,146
516456,21523,1107
3495474,41976,42467
2167114,151277,862
55460,3871,96
1716572,46900,2404
328417,5188,129
325333,2750,307
116732,5023,314
82048,3539,144
59190,2001,86
113926,1026,37
82415,4468,70
1843479,91834,1030
76475,4208,44
100908,314,190
30569,1184,14
360001,28058,385
615712,38795,594
23429,365,10
26922,111,14
69199,4237,15
1351046,33595,496
647820,8122,168
276231,30255,412
6582,174,8
52292,204,148
253763,10327,691
12831,86,5
38818,370,112
19800,10,102
322642,25373,537
1383687,159600,682
77486,5189,60
157973,681,337
65197,4287,36
575434,29299,514
24416,2738,83
378984,7464,299
101742,6282,89
54697,1693,65
2400741,92831,7687
962308,22111,1219
22383,921,26
914680,21174,2586
5392036,142006,10797
28169,1623,19
162006,7229,97
650799,12694,1946
298744,5906,444
12858,37,1
34968,1834,27
137518,1990,70
66349,4544,87
356406,11637,120
3228511,204840,3983
113820,5562,50
244538,12392,236
80687,197,30
492640,10058,744
167484,10718,37
863397,16213,1337
467678,18528,219
340068,14253,719
16017,206,16
4737269,175762,7017
39122,1572,629
214925,5591,145
240124,4288,58
310812,10079,398
34262,2023,71
143522,8593,241
189155,16242,141
224207,2366,570
2656622,149105,2339
39490,1932,14
952966,28677,3540
1194113,28200,1111
327639,17313,165
1014512,5954,541
32977,146,45
396661,21839,127
130950,2448,39
96267,3194,105
86671,280,128
296542,8575,328
2630503,18741,2999
33738,1933,36
426359,6418,333
50473,5682,39
759217,9848,1511
68613,1288,101
10899,58,4
181539,7193,74
108991,430,45
186961,5065,68
83497,410,28
3591,92,4
47069,131,77
442407,2742,172
368795,9519,746
277792,6408,371
22221,83,74
142010,5190,163
256761,13909,374
313133,10118,270
66800,3578,75
48179,4603,92
336398,4447,179
42422,243,8
48864,1941,22
34460,620,43
64932,39,14
106641,230,183
141308,4455,169
43426,309,33
900779,47602,1876
6993,20,58
24578152,891282,51977
1431,4,0
7095077,438470,6754
58689,831,253
122634,2908,210
256760,782,98
8993,292,5
6801,11,35
1204,7,0
227162,4836,60
1856410,38114,2049
704,10,2
393265,16805,19201
352770,4782,1838
3914,48,3
9747,447,14
10541,261,7
17679753,248909,21039
2374251,49509,3038
5159763,146732,4515
194930,6466,139
5318,20,1
218186,7773,230
1267977,2028,304
629166,8985,463
8041928,60434,11437
3913682,129182,8991
11156,86,22
312769,8665,360
2954882,52519,2453
2720774,76529,1960
403887,20780,643
277614,2609,5622
6247,22,0
6451949,150015,2976
18558186,1002549,32178
7797259,94545,8233
1291361,16081,1368
823285,89055,1565
1593121,61135,10680
366048,14742,1308
133092,4168,141
8072982,174944,6413
3252728,10779,282
178325,1641,83
81759,5896,166
4340962,396790,11280
646615,68813,1083
8291139,254158,5437
751525,77456,566
803802,36813,619
803168,35094,489
1654828,109421,992
185707,7018,57
582019,17558,1212
4716036,395289,3925
33260,181,79
544230,17911,483
523234,6762,2253
187278,9402,472
248793,29652,327
26393,162,74
1666003,61821,1055
438484,4629,236
123751,3583,283
336907,18768,177
364124,26993,210
31816,215,39
50702,2718,145
5158539,926887,3814
89852,5269,164
1248432,64410,569
336404,1795,751
172877,11271,75
57818,3032,76
686170,32999,654
759465,33415,816
53502,1747,87
20772,361,5
18346,544,28
67433,439,43
291603,6006,353
21007,433,11
1274705,88299,1183
360308,23311,969
44284,5183,25
176380,12369,367
47358,1358,179
372468,13355,803
82266,11788,93
9445,381,22
379172,5794,244
304954,2981,70
1448352,76717,1017
441164,36355,560
46197,3794,254
756962,22854,2983
625607,34952,705
2003729,93297,986
914063,31150,1471
2242229,63341,8314
50899,1520,120
384420,12145,504
127535,5146,125
578964,22898,1192
112967,5896,524
2312628,148859,3720
1285629,24686,8404
178887,19838,83
63841,4226,114
1985134,11176,5614
525327,16698,188
1406451,37209,2146
408821,3912,152
799694,19416,860
3447230,100566,1959
64813,3479,29
485602,32167,468
92342,4797,74
595598,136072,333
3631775,43038,44500
2286953,156920,915
386174,6074,138
128804,5369,336
1836995,48570,2523
125604,387,194
2002223,95909,1080
84488,4493,48
120991,1060,42
674220,40478,613
61066,68,3
25521,393,83
33164,1253,15
694375,8462,177
62257,2060,89
1408656,34417,506
331642,21739,190
274155,10765,750
210266,3759,107
30873,119,16
54256,208,149
14190,89,5
92106,5791,67
40326,383,113
20292,10,102
340649,26383,557
1443934,163475,709
38528,283,218
161057,686,338
71415,4483,39
293758,20134,193
596888,29736,523
7544,1049,14
39363,1955,31
981376,22491,1233
1975,4,0
68611,1899,74
111222,6724,96
2468267,94303,7802
606481,13385,512
362775,6411,499
961935,21757,2651
25796,2842,84
169411,7443,101
5661444,145774,11064
131762,150,23
728698,13623,2096
34784,1863,21
187106,11363,39
1387,15,1
3903013,219847,4307
368865,11889,127
139806,2007,70
68585,4630,91
11807,5,0
252084,12712,240
518064,10394,765
388443,15160,763
496031,18985,228
220365,5694,148
885011,16396,1363
43009,2017,15
119765,5741,50
261429,4470,62
37533,2150,87
360433,10988,427
42087,1671,653
107173,3477,109
4949674,180201,7042
198789,16735,144
146013,8719,243
3317,19,0
1384436,39121,4882
21855,281,17
2744125,151426,2373
13676,1172,18
1224268,28632,1126
1042282,6029,549
413662,22359,133
227345,2390,577
33434,147,45
35487,1999,36
87065,281,128
265799,14179,384
333944,17486,167
3841,97,4
11032,58,4
136837,2504,39
2688797,19042,3059
52416,5873,41
59959,2256,23
72940,1353,102
434036,6464,334
100168,514,31
301738,8634,332
112077,438,46
195143,5171,69
789594,10203,1561
472936,2867,185
47760,132,77
371683,9600,750
188957,7394,75
22302,83,75
49451,4666,92
292891,6725,386
324024,10288,274
147851,5319,171
343273,4503,182
48130,271,10
26448434,911883,53873
73984,3676,78
67471,40,15
35125,627,43
108297,232,184
4707527,157931,2072
2959054,415035,6703
396346,11277,499
1188326,25951,1115
322818,14604,420
29943556,1388751,54751
21046,1308,62
195386,2544,186
1540436,125458,2469
11072585,119371,10400
101553,11324,118
148223,1453,799
1905799,127150,1172
1612055,18320,1968
831968,3925,221
286288,6590,326
2280611,84882,2682
8533826,180591,4104
370302,12763,279
194110,8542,248
148145,7944,280
242240,5045,516
240931,23549,304
1246742,89204,1963
2173621,74326,13817
6705901,471760,14126
4116378,13119,349
9856767,201286,7805
467983,41915,860
79541,430,141
311937,9928,125
998296,40745,613
288770,12220,687
926121,39732,700
580897,49373,589
9779219,283197,6202
1795369,115580,1081
365523,22347,212
166940,8124,289
567182,5387,401
100954,618,73
679693,19264,1438
5514929,439189,4424
855475,23255,706
587048,35351,295
581091,7318,2514
52602,312,33
414431,20345,215
97375,3598,123
6066643,976120,4272
128700,14662,140
38057,759,74
610459,30692,448
42399,1095,49
43202,540,25
99495,2837,148
78147,1591,217
198335,12338,94
374411,1959,820
343860,6546,404
1329506,66170,608
1839303,109122,1522
126419,9064,106
461828,25387,1066
233492,13899,467
825470,34831,861
925595,39452,766
538348,38894,622
433978,29936,522
50157,5561,31
64813,3158,176
429721,14372,926
361618,3239,77
1524361,79021,1063
58760,4314,337
673143,35844,722
800306,23559,3133
797596,157975,438
2259888,99803,1074
156892,5863,144
987117,32742,1597
24423,395,5
2758724,158996,4107
440942,13096,558
2326348,64614,8599
616420,23599,1233
125328,6274,535
330225,27807,122
1315527,25054,8571
602977,18336,214
2056950,11386,5874
52886,1537,123
1497824,38000,2200
594612,34666,527
862532,20024,907
444789,4130,159
127525,1094,43
3560412,102520,2008
68145,4410,115
34293,400,86
7108,587,5
484287,7792,150
2415668,162209,971
1940520,50156,2652
98092,4974,77
3545,18,3
135090,5554,342
247839,4145,117
2143149,99173,1129
149074,469,198
74115,3793,35
3716275,43697,45910
736587,42050,630
12212,4,1
920,3,1
3748,6,0
84580,94,4
88932,4625,49
35082,1306,16
383830,23234,211
732349,8729,182
1455500,35048,524
63818,2080,91
14527,89,5
102941,6135,73
291272,11130,792
5258,433,1
328302,21299,214
33543,122,16
3390,9,0
41562,393,114
2421,10,0
55311,212,150
20464,10,103
38987,287,219
357376,27314,573
15382,33,1
4759,40,2
1493983,166290,728
2043,4,0
4843,387,13
163436,690,343
1357577,172690,1923
117379,6934,98
612546,30139,527
26621,2922,85
26473,2016,8
75397,4573,41
12984,1304,21
39467,2032,23
1000303,22849,1245
79057,2048,81
44511,2086,39
415473,6763,542
1002346,22250,2719
766661,16842,637
804735,14588,2259
175608,7612,103
5893503,148741,11289
2524854,95587,7892
144514,170,26
4756676,236846,4695
202092,11864,43
140792,2018,70
1616,16,1
70382,4691,92
380111,12095,128
535337,10633,786
11849,5,0
27997,366,22
44810,2067,15
426730,15763,782
124948,5933,50
44856,1731,678
897162,16551,1374
260902,13029,245
522367,19504,238
107919,1440,90
39720,2229,90
403685,11598,443
207465,17136,152
5159241,184500,7173
147976,8826,244
225280,5770,150
1579188,42376,5665
3491,19,0
2819118,153395,2416
1251577,28951,1146
37376,2093,37
33761,149,45
429830,22885,141
784937,4553,290
230403,2413,581
87403,285,128
338085,17626,167
69170,2462,24
112866,3643,112
3987,100,4
11156,58,4
111077,567,38
9920833,262448,4684
165139,3496,471
4575521,295650,5808
1675419,12798,1558
1174413,76342,698
226800,2167,123
1726301,21400,617
601839,6424,184
18916,1425,28
214150,4262,535
19744,544,24
5620985,550027,10436
703631,15716,849
325569,12404,1024
418595,4023,346
541017,18581,692
1704485,30305,1461
1891954,86481,879
212132,15161,457
38646917,1600400,68558
66888,1098,427
1992282,10103,629
1923973,138077,2830
42224,823,96
291062,10211,445
267395,2439,1423
446368,33965,512
12776633,130537,11553
458438,14738,361
2797467,148524,1585
9421291,191296,4403
29041,191,24
303310,26650,439
16431,151,27
1743129,19277,2172
372390,7993,408
2638137,91307,3043
602682,47008,1491
1923738,35159,843
327482,5917,690
44805,1496,106
13910,108,22
172546,8823,343
95900,604,64
1647994,99765,2655
1577521,15755,694
2597587,83723,15686
17627,193,238
8097332,505290,15357
112443,594,197
4251667,14290,375
10663409,210255,8458
50934,1349,40
126248,763,93
366465,11098,152
332872,13117,759
1101988,43550,674
63719,1046,115
1126715,12919,1188
67147,395,53
799867,57346,708
741859,8604,599
416327,24167,249
199206,9193,335
989954,41261,734
10729515,300465,6613
1875686,118922,1122
614887,5594,448
151602,15327,164
978535,25073,772
5889680,458893,4635
58233,1449,66
720203,19850,1517
775185,40873,348
124901,3939,147
786977,34409,518
619920,7604,2603
456234,21148,226
6674015,1003201,4600
158953,9980,125
51678,632,29
507616,31774,571
300653,14228,123
389849,2001,828
2329130,122211,1742
209701,12859,98
1373834,67021,640
617423,40618,665
533644,26802,1126
98684,1714,235
279611,14937,533
866709,35710,882
1091211,43213,820
70307,3339,188
456680,14799,977
701536,36320,734
910217,167996,489
389506,3347,84
4970,13,1
53126,5757,33
15353,1239,15
17899,1508,29
483212,26752,435
476488,34296,157
18525,1124,4
1048329,34097,1692
61690,4483,377
25945,403,5
479061,13671,592
645283,24187,1285
138548,6762,538
80851,9806,55
3155840,167396,4394
680277,36188,576
9663,665,8
1820,2,0
169977,6152,150
2377193,65290,8777
639095,19158,222
1336848,25355,8678
895210,20325,936
485303,4389,164
2131855,11574,6079
70025,4500,115
3658261,104137,2049
3699,19,3
1549485,38632,2225
2031003,51470,2744
4078,10,0
102271,5099,80
267631,4384,123
2521580,166527,1006
79915,4003,35
2259733,102055,1159
139225,5699,350
3762393,44018,46789
110590,104,5
786437,43223,649
12953,5,2
999,3,1
412286,23916,220
152485,473,199
92483,4731,50
6383,227,17
36905,1344,16
3705,9,0
65019,2104,94
1501028,35634,537
352336,21982,223
109624,6349,76
766050,8985,186
6044,462,2
14609,89,5
1447333,177927,1997
302837,11337,825
35451,125,16
5218,42,2
42451,399,114
55910,213,150
5839,427,14
2665,11,0
370461,27945,588
20541,10,103
39799,290,222
15476,34,1
2087,4,0
1533488,168268,738
166097,700,347
29723,2083,8
631000,30664,536
27408,2993,87
90268,2215,91
77763,4640,42
1014163,23095,1256
6109402,151250,11508
42658,2120,25
149257,178,26
451675,7014,579
874883,18686,711
1038365,22594,2798
877102,15480,2421
179948,7725,105
122054,7081,103
2564903,96321,7972
215541,12465,46
5468928,247884,5025
48037,2167,44
141492,2025,70
152001,9020,244
2358,17,1
547362,10776,797
71707,4739,93
5315471,187303,7278
441712,12162,482
1694708,43997,6027
11887,5,0
46025,2106,17
459969,16399,822
538546,19822,245
913268,16729,1386
1136686,12260,3978
1145941,15400,3484
578128,5704,225
771035,84031,474
327936,11643,584
1257634,6971,1342
353570,20145,488
582747,26750,663
339761,7031,1031
1056136,8709,509
301265,21174,270
60509,843,29
14476491,332269,6789
108339,663,427
123251,3601,149
372127,17272,106
638074,32479,772
128287,5310,490
455289,14025,441
451973,16364,82
54002,1175,29
172146,2840,254
29254,114,156
2364742,49833,2782
1609627,22942,1590
251683,20617,137
5617078,328517,7469
43667,2408,66
169239,5912,113
1967661,107403,1159
1587706,88437,1367
90054,3587,124
430457,20658,434
32639,2190,38
1326266,12282,426
15058,0,0
2206768,24283,756
33620,748,21
21194,413,14
224651,10504,300
999867,78088,690
70098,513,53
118227,3598,165
78979,4167,213
21426,162,26
60079,859,22
119497,336,99
100504,3058,448
7388662,607099,11887
144177,10237,60
129902,6801,53
24248,256,352
191764,1755,195
79519,1190,513
82596,1112,193
16456,299,44
532620,4474,389
134020,6111,209
29769,192,40
605083,19737,756
1927025,31492,1550
240895,16218,540
294255,2596,1543
111349,662,72
9454,267,36
26230,962,37
47078714,1763393,78228
2034428,90347,954
2823869,14873,902
321451,10630,507
500570,36032,576
2152085,144916,3012
78860,3449,172
491468,15484,378
3460999,161691,1779
13987067,137904,12199
9964832,196513,4589
105115,5923,37
424109,8718,441
1864545,20105,2247
682291,48750,1635
2810983,93993,3186
324167,27641,472
349260,6132,728
2043102,36153,878
180713,9225,352
1963898,106397,2898
698200,82215,311
9294823,530259,16331
2943211,90727,17000
2197,0,2
128475,619,209
1675392,16239,746
108294,326,6
1612283,15930,1567
345819,13456,779
4328193,14934,390
391853,11765,158
11217517,216489,8821
83832,1185,123
71637,6306,16
1137271,44392,682
1000754,63603,810
80663,443,56
1021443,25927,805
165353,15688,172
789872,8909,633
65746,1570,72
442977,25056,255
1043202,42380,768
654025,5741,452
1928537,120993,1142
946431,45383,406
145895,4236,161
6197393,476724,4853
188824,10698,145
933039,37171,578
129828,777,94
11362593,311331,6888
355788,15504,149
482648,21635,234
655350,7846,2634
7098772,1021297,4766
831425,64705,1480
61359,716,31
666698,41693,697
56759,3023,55
397918,2031,832
566430,33136,608
219662,13280,100
2811422,133911,1966
605186,28180,1241
115219,1835,244
65758,4691,418
1401048,67572,648
324083,15832,595
977204,172081,516
74094,3467,191
346110,11014,239
138563,7125,83
889168,36219,895
468840,14974,1009
18642,1343,18
552011,28626,482
407642,3394,91
1182553,45119,850
632967,40078,189
5224,13,1
55241,5892,33
102733,11201,63
21439,1605,30
27757,409,5
24160,1418,8
507987,14112,626
663450,24553,1310
146752,6988,543
756414,37367,625
3489592,172746,4601
1088828,34989,1773
721459,36683,740
12036,752,9
665452,19849,227
2382,3,0
2410620,65722,8897
1353044,25592,8782
914173,20515,946
71610,4571,119
2193283,11729,6199
3798127,44277,47469
7978,219,2
3729425,105253,2077
1581796,39141,2248
2098612,52336,2839
438025,24398,225
13659,7,2
278899,4513,126
105270,5186,83
2597902,169725,1034
4351,10,0
83038,4116,35
2408682,105248,1205
141741,5761,352
822101,43999,660
1032,3,1
371401,22490,230
95520,4816,51
153341,477,200
7840,253,17
38775,1373,16
3896,9,0
1531538,36000,546
66021,2136,94
792184,9174,189
6553,477,2
1508950,181682,2062
14657,89,5
114923,6490,78
643737,31028,536
36414,125,16
5963,47,2
5670852,262497,3453
2484089,150565,3873
852717,27913,584
212414,846,266
183935,7939,113
680569,13802,458
570641,6745,169
114917,8946,112
160530,9556,184
290800,20545,282
850117,36674,783
1002131,16443,598
240166,7490,131
59462,3962,26
734594,40170,397
1819783,17552,6131
1716171,144873,1039
1053325,9973,499
308230,21947,397
355773,18468,1078
1627849,20223,4632
522256,14312,1062
76859,4895,164
907902,37539,1589
204520,17520,604
270142,12507,114
522265,25431,802
496742,87485,331
679202,5867,242
1742272,8664,2276
210815,5231,73
508727,24809,399
48804,5758,51
784926,31510,1017
130189,2511,97
534109,20814,166
54392,470,19
191326,3067,287
157759,685,767
463642,8361,1286
38219,6367,53
34719,2280,40
84428,557,53
183369,11717,92
1243269,9592,620
49472,430,155
47263,768,30
92364,3589,130
52869,121,10
17613871,369518,7892
7576,51,34
576454,16228,551
682599,19487,120
721451,34678,862
159746,19463,246
362659,26534,186
56402,972,35
243500,7616,162
114518,1721,43
3346,48,23
193082,2387,35
173531,5440,336
129118,4341,171
1902537,25343,1904
115921,7577,160
2682780,54796,3241
1994585,101586,1655
34207,0,0
5979360,338607,7953
122161,2149,23
2112730,112345,1262
78582,547,58
594881,23892,558
21565,168,34
10720,10,6
36578,1221,45
1902516,15189,548
48331,2765,49
3892,35,14
7432,24,5
93088,1232,29
134077,358,123
27225,1966,47
2375214,25043,805
241456,10950,335
1123700,83670,754
108845,3131,477
91100,1174,200
209470,11478,100
